INFO:simulator.play:Set up Executor with config {"NUM_PEERS": 30, "WEIGHTS_IDENTICAL": false, "PEER_CONFIG": {"NUM_STEPS": 10, "NUM_NEIGHBOURS": 4, "NUM_ROTATE": 2, "EPOCHS": 7, "LEARNING_RATE": 0.01, "SGD_MOMENTUM": 0.0, "RETRAIN_FACTOR": 0.5}}
INFO:simulator.data:Set up data object of mixed labels for peer 0 with 1999 items.
INFO:simulator.data:Set up data object of mixed labels for peer 1 with 1999 items.
INFO:simulator.data:Set up data object of mixed labels for peer 2 with 1999 items.
INFO:simulator.data:Set up data object of mixed labels for peer 3 with 1999 items.
INFO:simulator.data:Set up data object of mixed labels for peer 4 with 1999 items.
INFO:simulator.data:Set up data object of mixed labels for peer 5 with 1999 items.
INFO:simulator.data:Set up data object of mixed labels for peer 6 with 1999 items.
INFO:simulator.data:Set up data object of mixed labels for peer 7 with 1999 items.
INFO:simulator.data:Set up data object of mixed labels for peer 8 with 1999 items.
INFO:simulator.data:Set up data object of mixed labels for peer 9 with 1999 items.
INFO:simulator.data:Set up data object of mixed labels for peer 10 with 1999 items.
INFO:simulator.data:Set up data object of mixed labels for peer 11 with 1999 items.
INFO:simulator.data:Set up data object of mixed labels for peer 12 with 1999 items.
INFO:simulator.data:Set up data object of mixed labels for peer 13 with 1999 items.
INFO:simulator.data:Set up data object of mixed labels for peer 14 with 1999 items.
INFO:simulator.data:Set up data object of mixed labels for peer 15 with 1999 items.
INFO:simulator.data:Set up data object of mixed labels for peer 16 with 1999 items.
INFO:simulator.data:Set up data object of mixed labels for peer 17 with 1999 items.
INFO:simulator.data:Set up data object of mixed labels for peer 18 with 1999 items.
INFO:simulator.data:Set up data object of mixed labels for peer 19 with 1999 items.
INFO:simulator.data:Set up data object of mixed labels for peer 20 with 1999 items.
INFO:simulator.data:Set up data object of mixed labels for peer 21 with 1999 items.
INFO:simulator.data:Set up data object of mixed labels for peer 22 with 1999 items.
INFO:simulator.data:Set up data object of mixed labels for peer 23 with 1999 items.
INFO:simulator.data:Set up data object of mixed labels for peer 24 with 1999 items.
INFO:simulator.data:Set up data object of mixed labels for peer 25 with 1999 items.
INFO:simulator.data:Set up data object of mixed labels for peer 26 with 1999 items.
INFO:simulator.data:Set up data object of mixed labels for peer 27 with 1999 items.
INFO:simulator.data:Set up data object of mixed labels for peer 28 with 1999 items.
INFO:simulator.data:Set up data object of mixed labels for peer 29 with 1999 items.
INFO:tracker:Announced {"peer": 0, "age": 0, "neighbours": []}
INFO:tracker:Announced {"peer": 1, "age": 0, "neighbours": []}
INFO:tracker:Announced {"peer": 2, "age": 0, "neighbours": []}
INFO:tracker:Announced {"peer": 3, "age": 0, "neighbours": []}
INFO:tracker:Announced {"peer": 4, "age": 0, "neighbours": []}
INFO:tracker:Announced {"peer": 5, "age": 0, "neighbours": []}
INFO:tracker:Announced {"peer": 6, "age": 0, "neighbours": []}
INFO:tracker:Announced {"peer": 7, "age": 0, "neighbours": []}
INFO:tracker:Announced {"peer": 8, "age": 0, "neighbours": []}
INFO:tracker:Announced {"peer": 9, "age": 0, "neighbours": []}
INFO:tracker:Announced {"peer": 10, "age": 0, "neighbours": []}
INFO:tracker:Announced {"peer": 11, "age": 0, "neighbours": []}
INFO:tracker:Announced {"peer": 12, "age": 0, "neighbours": []}
INFO:tracker:Announced {"peer": 13, "age": 0, "neighbours": []}
INFO:tracker:Announced {"peer": 14, "age": 0, "neighbours": []}
INFO:tracker:Announced {"peer": 15, "age": 0, "neighbours": []}
INFO:tracker:Announced {"peer": 16, "age": 0, "neighbours": []}
INFO:tracker:Announced {"peer": 17, "age": 0, "neighbours": []}
INFO:tracker:Announced {"peer": 18, "age": 0, "neighbours": []}
INFO:tracker:Announced {"peer": 19, "age": 0, "neighbours": []}
INFO:tracker:Announced {"peer": 20, "age": 0, "neighbours": []}
INFO:tracker:Announced {"peer": 21, "age": 0, "neighbours": []}
INFO:tracker:Announced {"peer": 22, "age": 0, "neighbours": []}
INFO:tracker:Announced {"peer": 23, "age": 0, "neighbours": []}
INFO:tracker:Announced {"peer": 24, "age": 0, "neighbours": []}
INFO:tracker:Announced {"peer": 25, "age": 0, "neighbours": []}
INFO:tracker:Announced {"peer": 26, "age": 0, "neighbours": []}
INFO:tracker:Announced {"peer": 27, "age": 0, "neighbours": []}
INFO:tracker:Announced {"peer": 28, "age": 0, "neighbours": []}
INFO:tracker:Announced {"peer": 29, "age": 0, "neighbours": []}
INFO:simulator.play:Distance between data sets 0 and 1: 0.03447044785024491
INFO:simulator.play:Distance between data sets 0 and 2: 0.03751885406476453
INFO:simulator.play:Distance between data sets 0 and 3: 0.05006694595097687
INFO:simulator.play:Distance between data sets 0 and 4: 0.0508393355188086
INFO:simulator.play:Distance between data sets 0 and 5: 0.024538637958793557
INFO:simulator.play:Distance between data sets 0 and 6: 0.05041417523648845
INFO:simulator.play:Distance between data sets 0 and 7: 0.03875049471572361
INFO:simulator.play:Distance between data sets 0 and 8: 0.05134693515828384
INFO:simulator.play:Distance between data sets 0 and 9: 0.03742830528596709
INFO:simulator.play:Distance between data sets 0 and 10: 0.03837456391409393
INFO:simulator.play:Distance between data sets 0 and 11: 0.031874647893143614
INFO:simulator.play:Distance between data sets 0 and 12: 0.04031531018927736
INFO:simulator.play:Distance between data sets 0 and 13: 0.04878475344044709
INFO:simulator.play:Distance between data sets 0 and 14: 0.03421057514266758
INFO:simulator.play:Distance between data sets 0 and 15: 0.03216707601494653
INFO:simulator.play:Distance between data sets 0 and 16: 0.03696402588225397
INFO:simulator.play:Distance between data sets 0 and 17: 0.04764368039438742
INFO:simulator.play:Distance between data sets 0 and 18: 0.03764555707170011
INFO:simulator.play:Distance between data sets 0 and 19: 0.03560198749300551
INFO:simulator.play:Distance between data sets 0 and 20: 0.03796898294504283
INFO:simulator.play:Distance between data sets 0 and 21: 0.04648796350123322
INFO:simulator.play:Distance between data sets 0 and 22: 0.03792301715328097
INFO:simulator.play:Distance between data sets 0 and 23: 0.04886421364984731
INFO:simulator.play:Distance between data sets 0 and 24: 0.035824170738785244
INFO:simulator.play:Distance between data sets 0 and 25: 0.0485427406178614
INFO:simulator.play:Distance between data sets 0 and 26: 0.03483402458626717
INFO:simulator.play:Distance between data sets 0 and 27: 0.04894973895239325
INFO:simulator.play:Distance between data sets 0 and 28: 0.0383691279467114
INFO:simulator.play:Distance between data sets 0 and 29: 0.028043943573980986
INFO:simulator.play:Distance between data sets 1 and 2: 0.039871148727777
INFO:simulator.play:Distance between data sets 1 and 3: 0.041758293531904855
INFO:simulator.play:Distance between data sets 1 and 4: 0.03849412962470188
INFO:simulator.play:Distance between data sets 1 and 5: 0.03662321463362776
INFO:simulator.play:Distance between data sets 1 and 6: 0.04009698783223159
INFO:simulator.play:Distance between data sets 1 and 7: 0.03861450298946991
INFO:simulator.play:Distance between data sets 1 and 8: 0.03984705811582387
INFO:simulator.play:Distance between data sets 1 and 9: 0.03767046299588567
INFO:simulator.play:Distance between data sets 1 and 10: 0.03110133523855755
INFO:simulator.play:Distance between data sets 1 and 11: 0.032564205408719384
INFO:simulator.play:Distance between data sets 1 and 12: 0.022675356496343033
INFO:simulator.play:Distance between data sets 1 and 13: 0.04999968541036274
INFO:simulator.play:Distance between data sets 1 and 14: 0.03595371269543687
INFO:simulator.play:Distance between data sets 1 and 15: 0.035399247035563075
INFO:simulator.play:Distance between data sets 1 and 16: 0.026985318024230518
INFO:simulator.play:Distance between data sets 1 and 17: 0.03166183461576912
INFO:simulator.play:Distance between data sets 1 and 18: 0.028402289832848024
INFO:simulator.play:Distance between data sets 1 and 19: 0.03171664998138568
INFO:simulator.play:Distance between data sets 1 and 20: 0.03994999868113595
INFO:simulator.play:Distance between data sets 1 and 21: 0.03838144549767651
INFO:simulator.play:Distance between data sets 1 and 22: 0.036946245284314894
INFO:simulator.play:Distance between data sets 1 and 23: 0.031034796291660425
INFO:simulator.play:Distance between data sets 1 and 24: 0.026388131880695154
INFO:simulator.play:Distance between data sets 1 and 25: 0.038427657018382425
INFO:simulator.play:Distance between data sets 1 and 26: 0.02123475015374104
INFO:simulator.play:Distance between data sets 1 and 27: 0.035969741508447714
INFO:simulator.play:Distance between data sets 1 and 28: 0.03723710203980722
INFO:simulator.play:Distance between data sets 1 and 29: 0.026091966129083224
INFO:simulator.play:Distance between data sets 2 and 3: 0.043071744932828594
INFO:simulator.play:Distance between data sets 2 and 4: 0.02962361827944368
INFO:simulator.play:Distance between data sets 2 and 5: 0.0301184985612981
INFO:simulator.play:Distance between data sets 2 and 6: 0.03563184990654702
INFO:simulator.play:Distance between data sets 2 and 7: 0.029016006703394118
INFO:simulator.play:Distance between data sets 2 and 8: 0.04555893586040644
INFO:simulator.play:Distance between data sets 2 and 9: 0.03559483408131518
INFO:simulator.play:Distance between data sets 2 and 10: 0.031980717309842144
INFO:simulator.play:Distance between data sets 2 and 11: 0.046828299374113626
